T,u,v
1000.00000000,0.44801143,0.35462481
1010.00000000,0.44568218,0.35482596
1020.10000000,0.44335468,0.35502538
1030.30100000,0.44102932,0.35522295
1040.60401000,0.43870647,0.35541858
1051.01005010,0.43638652,0.35561218
1061.52015060,0.43406982,0.35580363
1072.13535211,0.43175673,0.35599283
1082.85670563,0.42944762,0.35617969
1093.68527268,0.42714282,0.35636410
1104.62212541,0.42484268,0.35654595
1115.66834667,0.42254753,0.35672514
1126.82503013,0.42025771,0.35690156
1138.09328043,0.41797352,0.35707511
1149.47421324,0.41569529,0.35724569
1160.96895537,0.41342333,0.35741319
1172.57864492,0.41115793,0.35757750
1184.30443137,0.40889939,0.35773851
1196.14747569,0.40664801,0.35789613
1208.10895044,0.40440405,0.35805023
1220.19003995,0.40216780,0.35820072
1232.39194035,0.39993953,0.35834749
1244.71585975,0.39771949,0.35849044
1257.16301835,0.39550794,0.35862945
1269.73464853,0.39330514,0.35876442
1282.43199502,0.39111132,0.35889525
1295.25631497,0.38892672,0.35902184
1308.20887812,0.38675157,0.35914406
1321.29096690,0.38458609,0.35926184
1334.50387657,0.38243050,0.35937505
1347.84891533,0.38028502,0.35948360
1361.32740449,0.37814984,0.35958739
1374.94067853,0.37602517,0.35968631
1388.69008532,0.37391120,0.35978027
1402.57698617,0.37180811,0.35986917
1416.60275603,0.36971610,0.35995291
1430.76878359,0.36763533,0.36003139
1445.07647143,0.36556598,0.36010453
1459.52723614,0.36350820,0.36017222
1474.12250850,0.36146217,0.36023438
1488.86373359,0.35942802,0.36029092
1503.75237092,0.35740592,0.36034174
1518.78989463,0.35539600,0.36038677
1533.97779358,0.35339841,0.36042591
1549.31757152,0.35141327,0.36045909
1564.81074723,0.34944072,0.36048623
1580.45885470,0.34748087,0.36050724
1596.26344325,0.34553384,0.36052205
1612.22607768,0.34359976,0.36053059
1628.34833846,0.34167872,0.36053279
1644.63182184,0.33977083,0.36052857
1661.07814006,0.33787619,0.36051787
1677.68892146,0.33599489,0.36050063
1694.46581068,0.33412704,0.36047679
1711.41046878,0.33227270,0.36044629
1728.52457347,0.33043196,0.36040907
1745.80981921,0.32860491,0.36036508
1763.26791740,0.32679161,0.36031427
1780.90059657,0.32499214,0.36025659
1798.70960254,0.32320655,0.36019201
1816.69669856,0.32143491,0.36012047
1834.86366555,0.31967729,0.36004195
1853.21230221,0.31793372,0.35995641
1871.74442523,0.31620426,0.35986382
1890.46186948,0.31448897,0.35976415
1909.36648817,0.31278787,0.35965737
1928.46015306,0.31110101,0.35954348
1947.74475459,0.30942843,0.35942244
1967.22220213,0.30777015,0.35929424
1986.89442415,0.30612620,0.35915888
2006.76336840,0.30449662,0.35901634
2026.83100208,0.30288141,0.35886663
2047.09931210,0.30128061,0.35870973
2067.57030522,0.29969421,0.35854567
2088.24600827,0.29812225,0.35837443
2109.12846836,0.29656471,0.35819604
2130.21975304,0.29502162,0.35801050
2151.52195057,0.29349296,0.35781783
2173.03717008,0.29197875,0.35761805
2194.76754178,0.29047898,0.35741119
2216.71521719,0.28899363,0.35719727
2238.88236937,0.28752271,0.35697632
2261.27119306,0.28606619,0.35674838
2283.88390499,0.28462407,0.35651347
2306.72274404,0.28319633,0.35627166
2329.78997148,0.28178294,0.35602296
2353.08787120,0.28038388,0.35576744
2376.61874991,0.27899913,0.35550514
2400.38493741,0.27762865,0.35523611
2424.38878678,0.27627243,0.35496040
2448.63267465,0.27493041,0.35467809
2473.11900139,0.27360257,0.35438922
2497.85019141,0.27228887,0.35409387
2522.82869332,0.27098927,0.35379209
2548.05698026,0.26970372,0.35348397
2573.53755006,0.26843218,0.35316956
2599.27292556,0.26717460,0.35284895
2625.26565481,0.26593094,0.35252221
2651.51831136,0.26470113,0.35218942
2678.03349448,0.26348513,0.35185067
2704.81382942,0.26228288,0.35150603
2731.86196772,0.26109433,0.35115560
2759.18058739,0.25991940,0.35079946
2786.77239327,0.25875805,0.35043770
2814.64011720,0.25761020,0.35007042
2842.78651837,0.25647579,0.34969771
2871.21438356,0.25535476,0.34931967
2899.92652739,0.25424703,0.34893639
2928.92579266,0.25315254,0.34854797
2958.21505059,0.25207121,0.34815452
2987.79720110,0.25100297,0.34775613
3017.67517311,0.24994774,0.34735292
3047.85192484,0.24890544,0.34694498
3078.33044409,0.24787601,0.34653242
3109.11374853,0.24685935,0.34611536
3140.20488601,0.24585539,0.34569389
3171.60693487,0.24486404,0.34526813
3203.32300422,0.24388523,0.34483820
3235.35623426,0.24291886,0.34440419
3267.70979661,0.24196485,0.34396622
3300.38689457,0.24102312,0.34352442
3333.39076352,0.24009357,0.34307888
3366.72467115,0.23917611,0.34262972
3400.39191787,0.23827067,0.34217707
3434.39583704,0.23737714,0.34172102
3468.73979542,0.23649543,0.34126171
3503.42719337,0.23562546,0.34079923
3538.46146530,0.23476712,0.34033372
3573.84607996,0.23392032,0.33986528
3609.58454076,0.23308498,0.33939403
3645.68038616,0.23226098,0.33892009
3682.13719002,0.23144824,0.33844357
3718.95856193,0.23064666,0.33796458
3756.14814754,0.22985614,0.33748325
3793.70962902,0.22907659,0.33699969
3831.64672531,0.22830790,0.33651401
3869.96319256,0.22754997,0.33602632
3908.66282449,0.22680271,0.33553675
3947.74945273,0.22606602,0.33504539
3987.22694726,0.22533979,0.33455238
4027.09921673,0.22462393,0.33405781
4067.37020890,0.22391834,0.33356180
4108.04391099,0.22322291,0.33306446
4149.12435010,0.22253754,0.33256591
4190.61559360,0.22186213,0.33206624
4232.52174954,0.22119659,0.33156557
4274.84696703,0.22054080,0.33106400
4317.59543670,0.21989467,0.33056165
4360.77139107,0.21925809,0.33005861
4404.37910498,0.21863097,0.32955500
4448.42289603,0.21801319,0.32905091
4492.90712499,0.21740467,0.32854645
4537.83619624,0.21680530,0.32804172
4583.21455820,0.21621497,0.32753682
4629.04670378,0.21563358,0.32703184
4675.33717082,0.21506104,0.32652689
4722.09054253,0.21449724,0.32602207
4769.31144796,0.21394208,0.32551746
4817.00456244,0.21339546,0.32501316
4865.17460806,0.21285728,0.32450926
4913.82635414,0.21232744,0.32400586
4962.96461768,0.21180584,0.32350305
5012.59426386,0.21129238,0.32300091
